Query,RetrievedDocuments
40197.query,VOM19980618.0700.0114 VOM19980529.0700.0392 VOM19980626.0700.0131 VOM19980626.0730.0070 VOM19980626.0900.0075 
40198.query,VOM19980220.0900.2019 VOM19980326.0900.1939 VOM19980404.0700.0406 VOM19980621.0730.0269 VOM19980326.0900.2164 
40199.query,VOM19980306.0700.3467 VOM19980527.0900.0260 VOM19980524.0730.0201 VOM19980524.0700.0373 VOM19980316.0900.3433 
40200.query,VOM19980511.0700.0105 VOM19980524.0700.0112 VOM19980511.0900.0039 VOM19980225.0900.2949 VOM19980511.0730.0066 
40201.query,VOM19980316.0900.2774 VOM19980317.0900.2819 VOM19980403.0900.0619 VOM19980618.0700.0114 VOM19980327.0900.1545 
40202.query,VOM19980627.0700.0466 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980222.0700.0448 VOM19980624.0700.0434 
40203.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980306.0700.0671 VOM19980316.0900.3433 VOM19980315.0700.2184 
40204.query,VOM19980223.0700.2728 VOM19980326.0700.0480 VOM19980602.0730.0163 VOM19980507.0900.0269 VOM19980222.0700.1986 
40205.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980602.0730.0163 VOM19980403.0900.3074 VOM19980325.0900.3063 
40206.query,VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980403.0900.3300 VOM19980524.0700.0112 VOM19980504.0700.0222 
40207.query,VOM19980404.0700.1788 VOM19980326.0700.0480 VOM19980301.0700.0136 VOM19980504.0700.0222 VOM19980302.0900.0510 
40208.query,VOM19980530.0700.0318 VOM19980530.0700.0318 VOM19980507.0700.0422 VOM19980526.0730.0065 VOM19980526.0900.0124 
40209.query,VOM19980220.0900.3504 VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980630.0730.0136 VOM19980316.0900.3433 
40210.query,VOM19980621.0730.0001 VOM19980621.0700.0052 VOM19980620.0730.0003 VOM19980222.0700.0448 VOM19980404.0700.0406 
40211.query,VOM19980316.0900.2774 VOM19980226.0900.2027 VOM19980325.0900.3063 VOM19980326.0700.2359 VOM19980326.0900.2164 
40212.query,VOM19980312.0900.1968 VOM19980223.0700.0664 VOM19980526.0730.0065 VOM19980526.0900.0124 VOM19980527.0900.0083 
40213.query,VOM19980220.0700.1159 VOM19980410.0900.0207 VOM19980316.0700.0649 VOM19980327.0900.1892 VOM19980327.0900.1892 
40214.query,VOM19980630.0730.0136 VOM19980624.0700.0288 VOM19980316.0900.3433 VOM19980326.0700.0480 VOM19980504.0700.0268 
40215.query,VOM19980327.0900.1545 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980222.0700.0448 VOM19980404.0700.1061 
40216.query,VOM19980327.0900.1545 VOM19980316.0900.2774 VOM19980222.0700.0448 VOM19980326.0900.1939 VOM19980404.0700.1061 
40217.query,VOM19980316.0700.0649 VOM19980430.0900.0231 VOM19980521.0900.0254 VOM19980415.0900.0272 VOM19980303.0700.0696 
40218.query,VOM19980220.0900.3504 VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980609.0700.0520 VOM19980617.0700.0554 
40219.query,VOM19980326.0900.1939 VOM19980327.0900.1545 VOM19980627.0700.0466 VOM19980325.0900.3063 VOM19980222.0700.0448 
40220.query,VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980624.0700.0288 VOM19980316.0900.3433 VOM19980228.0700.2303 
40221.query,VOM19980404.0700.1788 VOM19980527.0700.0163 VOM19980527.0730.0079 VOM19980326.0700.0480 VOM19980302.0900.0670 
40222.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980403.0900.0619 VOM19980316.0900.2774 
40223.query,VOM19980618.0700.0114 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980325.0900.3063 VOM19980316.0900.2774 
40224.query,VOM19980511.0900.0039 VOM19980225.0900.2949 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980511.0730.0066 
40225.query,VOM19980317.0700.0510 VOM19980316.0700.0649 VOM19980423.0900.0253 VOM19980604.0900.0246 VOM19980430.0900.0231 
40226.query,VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980315.0700.2184 VOM19980302.0700.0653 VOM19980316.0900.3433 
40227.query,VOM19980511.0900.0039 VOM19980404.0700.1061 VOM19980511.0730.0066 VOM19980403.0700.0129 VOM19980403.0900.0124 
40228.query,VOM19980511.0900.0208 VOM19980511.0700.0497 VOM19980226.0900.3196 VOM19980607.0700.0422 VOM19980508.0900.0211 
40229.query,VOM19980404.0700.1061 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980403.0900.0124 VOM19980403.0900.2034 
40230.query,VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980222.0700.0448 VOM19980220.0900.0330 VOM19980227.0900.0358 
40231.query,VOM19980524.0700.0112 VOM19980403.0900.3074 VOM19980306.0700.0671 VOM19980222.0700.0448 VOM19980303.0700.0590 
40232.query,VOM19980305.0900.2335 VOM19980520.0700.0476 VOM19980325.0900.2134 VOM19980225.0700.0221 VOM19980319.0700.0678 
40233.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980511.0730.0066 VOM19980225.0900.2949 VOM19980403.0700.1169 
40234.query,VOM19980507.0900.0269 VOM19980625.0700.0205 VOM19980507.0730.0263 VOM19980305.0700.0560 VOM19980302.0900.0510 
40235.query,VOM19980404.0700.1061 VOM19980326.0900.1939 VOM19980404.0700.0676 VOM19980327.0900.1545 VOM19980222.0700.0448 
40236.query,VOM19980618.0730.0119 VOM19980618.0700.0542 VOM19980616.0700.0538 VOM19980611.0700.0548 VOM19980617.0700.0554 
40237.query,VOM19980403.0900.0619 VOM19980616.0900.0100 VOM19980618.0700.0187 VOM19980616.0730.0180 VOM19980312.0900.0825 
40238.query,VOM19980316.0900.2774 VOM19980616.0900.0100 VOM19980616.0730.0180 VOM19980317.0900.1247 VOM19980403.0900.0619 
40239.query,VOM19980228.0700.0268 VOM19980222.0700.0448 VOM19980316.0900.2774 VOM19980317.0900.2819 VOM19980505.0700.0344 
40240.query,VOM19980302.0900.0510 VOM19980301.0700.0136 VOM19980403.0700.0259 VOM19980505.0700.0344 VOM19980505.0700.0344 
40241.query,VOM19980619.0730.0076 VOM19980301.0700.0136 VOM19980302.0900.0510 VOM19980619.0700.0040 VOM19980531.0730.0120 
40242.query,VOM19980312.0900.1968 VOM19980618.0700.0234 VOM19980327.0900.1545 VOM19980326.0700.0480 VOM19980221.0700.2087 
40243.query,VOM19980325.0900.0905 VOM19980226.0900.2027 VOM19980326.0900.1939 VOM19980302.0900.0670 VOM19980327.0900.1545 
40244.query,VOM19980220.0900.3504 VOM19980504.0730.0100 VOM19980504.0700.0268 VOM19980610.0730.0140 VOM19980616.0700.0538 
40245.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980221.0700.2442 VOM19980228.0700.2757 
40246.query,VOM19980220.0900.2019 VOM19980301.0700.0358 VOM19980319.0700.0352 VOM19980521.0730.0189 VOM19980325.0900.2916 
40247.query,VOM19980510.0730.0142 VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980611.0730.0120 VOM19980611.0700.0211 
40248.query,VOM19980504.0730.0100 VOM19980220.0900.3504 VOM19980630.0730.0136 VOM19980316.0900.3433 VOM19980315.0700.2184 
40249.query,VOM19980510.0730.0142 VOM19980618.0700.0144 VOM19980226.0900.3196 VOM19980228.0700.0268 VOM19980225.0900.1953 
40250.query,VOM19980403.0700.1169 VOM19980404.0700.1061 VOM19980509.0700.0043 VOM19980222.0700.0448 VOM19980404.0700.0676 
40251.query,VOM19980430.0900.0231 VOM19980610.0730.0140 VOM19980527.0730.0233 VOM19980618.0730.0119 VOM19980303.0700.0696 
40252.query,VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980305.0700.0560 VOM19980504.0700.0222 VOM19980319.0700.0352 
40253.query,VOM19980220.0900.3504 VOM19980302.0900.0635 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980610.0730.0140 
40254.query,VOM19980301.0700.0136 VOM19980302.0900.0510 VOM19980521.0730.0004 VOM19980521.0730.0004 VOM19980521.0700.0039 
40255.query,VOM19980507.0900.0269 VOM19980507.0730.0263 VOM19980224.0700.0330 VOM19980305.0700.0560 VOM19980220.0700.2208 
40256.query,VOM19980317.0700.2420 VOM19980302.0700.0653 VOM19980302.0900.0670 VOM19980326.0900.1939 VOM19980316.0900.3018 
40257.query,VOM19980604.0700.0534 VOM19980520.0700.0476 VOM19980610.0700.0551 VOM19980618.0700.0076 VOM19980618.0700.0076 
40258.query,VOM19980228.0700.0268 VOM19980507.0730.0263 VOM19980610.0730.0140 VOM19980223.0900.1900 VOM19980223.0900.3502 
40259.query,VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980315.0700.2184 VOM19980312.0900.2408 VOM19980316.0900.3433 
40260.query,VOM19980403.0900.0619 VOM19980616.0900.0100 VOM19980616.0730.0180 VOM19980618.0700.0187 VOM19980316.0900.2774 
40261.query,VOM19980618.0700.0234 VOM19980312.0900.1968 VOM19980220.0700.2208 VOM19980327.0900.1545 VOM19980316.0900.3018 
40262.query,VOM19980406.0900.0044 VOM19980327.0900.2062 VOM19980220.0700.2208 VOM19980627.0700.0466 VOM19980618.0700.0234 
40263.query,VOM19980225.0900.2949 VOM19980220.0700.1159 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980511.0900.0039 
40264.query,VOM19980327.0900.1545 VOM19980316.0900.2774 VOM19980222.0700.0448 VOM19980326.0900.1939 VOM19980312.0900.2408 
40265.query,VOM19980404.0700.1061 VOM19980316.0900.2774 VOM19980222.0700.0448 VOM19980315.0700.2184 VOM19980521.0700.0039 
40266.query,VOM19980614.0730.0231 VOM19980614.0700.0302 VOM19980620.0730.0003 VOM19980621.0730.0001 VOM19980621.0700.0052 
40267.query,VOM19980618.0700.0234 VOM19980312.0900.1968 VOM19980220.0700.2208 VOM19980305.0900.2335 VOM19980403.0700.0259 
40268.query,VOM19980312.0900.0825 VOM19980315.0700.1310 VOM19980611.0700.0548 VOM19980603.0700.0545 VOM19980618.0700.0542 
40269.query,VOM19980220.0900.3504 VOM19980507.0700.0521 VOM19980511.0700.0080 VOM19980511.0700.0080 VOM19980602.0700.0511 
40270.query,VOM19980602.0730.0163 VOM19980316.0900.3433 VOM19980630.0730.0136 VOM19980403.0900.3074 VOM19980625.0730.0124 
40271.query,VOM19980315.0700.2184 VOM19980404.0700.0676 VOM19980521.0700.0039 VOM19980316.0900.2774 VOM19980314.0700.0275 
40272.query,VOM19980524.0730.0031 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980531.0730.0076 
40273.query,VOM19980317.0700.0510 VOM19980527.0730.0233 VOM19980430.0900.0231 VOM19980604.0900.0246 VOM19980302.0900.0368 
40274.query,VOM19980630.0730.0248 VOM19980224.0700.1724 VOM19980630.0700.0296 VOM19980428.0900.0156 VOM19980613.0730.0072 
40275.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980614.0730.0034 VOM19980303.0900.0160 VOM19980614.0700.0111 
40276.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980614.0730.0034 VOM19980614.0700.0111 VOM19980527.0700.0426 
40277.query,VOM19980303.0900.0160 VOM19980613.0730.0072 VOM19980228.0700.0156 VOM19980613.0700.0179 VOM19980223.0700.0800 
40278.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980222.0700.0758 VOM19980326.0900.0118 VOM19980502.0730.0193 
40279.query,VOM19980428.0900.0156 VOM19980502.0730.0193 VOM19980223.0900.1740 VOM19980613.0730.0072 VOM19980613.0700.0179 
40280.query,VOM19980502.0730.0193 VOM19980428.0900.0156 VOM19980502.0700.0348 VOM19980222.0700.1842 VOM19980613.0700.0179 
40281.query,VOM19980630.0730.0248 VOM19980630.0700.0296 VOM19980502.0730.0193 VOM19980428.0900.0156 VOM19980613.0730.0072 
40282.query,VOM19980222.0700.1880 VOM19980502.0730.0193 VOM19980222.0700.0195 VOM19980220.0900.1880 VOM19980428.0900.0156 
40283.query,VOM19980502.0730.0193 VOM19980613.0730.0072 VOM19980428.0900.0156 VOM19980613.0700.0179 VOM19980223.0900.1740 
40284.query,VOM19980502.0730.0193 VOM19980428.0900.0156 VOM19980502.0700.0348 VOM19980613.0730.0072 VOM19980613.0700.0179 
40285.query,VOM19980326.0900.0118 VOM19980613.0730.0072 VOM19980326.0700.0115 VOM19980613.0700.0179 VOM19980222.0700.0758 
40286.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980501.0700.0297 VOM19980502.0730.0193 VOM19980428.0900.0156 
40287.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980502.0730.0193 VOM19980527.0700.0426 VOM19980326.0700.0115 
40288.query,VOM19980326.0700.0115 VOM19980327.0900.0179 VOM19980327.0900.1850 VOM19980613.0730.0072 VOM19980613.0700.0179 
40289.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980326.0700.0115 VOM19980502.0730.0193 VOM19980626.0700.0365 
40290.query,VOM19980222.0700.1880 VOM19980222.0700.0195 VOM19980220.0900.1880 VOM19980223.0700.1040 VOM19980303.0700.0179 
40291.query,VOM19980326.0700.0115 VOM19980327.0900.1850 VOM19980327.0900.0179 VOM19980327.0900.3348 VOM19980630.0730.0248 
40292.query,VOM19980403.0700.0372 VOM19980326.0700.0115 VOM19980327.0900.0179 VOM19980327.0900.1850 VOM19980327.0900.3348 
40293.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980326.0700.0115 VOM19980614.0730.0034 VOM19980611.0700.0350 
40294.query,VOM19980326.0900.0118 VOM19980326.0700.0452 VOM19980225.0900.0178 VOM19980312.0900.1868 VOM19980312.0900.0274 
40295.query,VOM19980326.0700.0115 VOM19980327.0900.1850 VOM19980403.0700.0372 VOM19980327.0900.0179 VOM19980327.0900.3348 
40296.query,VOM19980326.0700.0115 VOM19980327.0900.0179 VOM19980327.0900.1850 VOM19980403.0700.0372 VOM19980327.0900.3348 
40297.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980614.0730.0034 VOM19980611.0700.0350 VOM19980614.0700.0111 
40298.query,VOM19980326.0700.0115 VOM19980403.0700.0372 VOM19980327.0900.0179 VOM19980327.0900.1850 VOM19980319.0900.3353 
40299.query,VOM19980526.0700.0342 VOM19980526.0900.0186 VOM19980503.0730.0027 VOM19980220.0900.3360 VOM19980503.0700.0096 
40300.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980326.0700.0115 VOM19980614.0730.0034 VOM19980611.0700.0350 
40301.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980614.0730.0034 VOM19980326.0700.0115 VOM19980306.0700.0354 
40302.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980326.0700.0115 VOM19980611.0700.0350 VOM19980614.0730.0034 
40303.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980326.0700.0115 VOM19980611.0700.0350 VOM19980614.0730.0034 
40304.query,VOM19980602.0700.0417 VOM19980228.0700.1816 VOM19980228.0700.0187 VOM19980611.0700.0535 VOM19980223.0700.1295 
40305.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980611.0700.0350 VOM19980326.0900.0118 VOM19980527.0700.0426 
40306.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980326.0700.0115 VOM19980611.0700.0350 VOM19980527.0700.0426 
40307.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980403.0700.0372 VOM19980326.0700.0115 VOM19980303.0900.0160 
40308.query,VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980222.0700.1842 VOM19980304.0700.0408 VOM19980225.0900.1874 
40309.query,VOM19980502.0730.0193 VOM19980428.0900.0156 VOM19980613.0700.0179 VOM19980303.0700.0179 VOM19980223.0900.1740 
40310.query,VOM19980326.0700.0115 VOM19980403.0700.0372 VOM19980327.0900.0179 VOM19980327.0900.1850 VOM19980327.0900.3348 
40311.query,VOM19980304.0700.0408 VOM19980225.0900.0178 VOM19980613.0730.0072 VOM19980225.0700.0187 VOM19980223.0900.3362 
40312.query,VOM19980222.0700.1880 VOM19980222.0700.0195 VOM19980220.0900.3360 VOM19980220.0900.1880 VOM19980228.0700.1816 
40313.query,VOM19980326.0700.0115 VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980502.0730.0193 VOM19980404.0700.0133 
40314.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980222.0700.0758 VOM19980326.0900.0118 VOM19980326.0700.0115 
40315.query,VOM19980306.0700.0354 VOM19980220.0900.3360 VOM19980223.0900.3362 VOM19980326.0900.0118 VOM19980221.0700.0119 
40316.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980305.0700.0395 VOM19980222.0700.0758 VOM19980306.0700.0354 
40317.query,VOM19980303.0700.0783 VOM19980303.0700.0179 VOM19980304.0700.0408 VOM19980428.0900.0156 VOM19980304.0900.0353 
40318.query,VOM19980220.0900.3360 VOM19980223.0900.3362 VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980223.0900.0154 
40319.query,VOM19980326.0900.0118 VOM19980220.0900.3360 VOM19980326.0700.0452 VOM19980220.0900.0190 VOM19980220.0900.1815 
40320.query,VOM19980428.0900.0156 VOM19980502.0730.0193 VOM19980303.0700.0179 VOM19980223.0900.1740 VOM19980304.0700.0408 
40321.query,VOM19980303.0700.0179 VOM19980303.0700.0783 VOM19980304.0700.0871 VOM19980502.0730.0193 VOM19980304.0700.0408 
40322.query,VOM19980303.0700.0179 VOM19980303.0700.0783 VOM19980428.0900.0156 VOM19980502.0730.0193 VOM19980304.0700.0408 
40323.query,VOM19980223.0900.3362 VOM19980223.0700.0800 VOM19980303.0900.0160 VOM19980303.0700.0179 VOM19980613.0730.0072 
40324.query,VOM19980303.0700.0179 VOM19980223.0900.1740 VOM19980303.0700.0783 VOM19980223.0900.3362 VOM19980223.0900.0154 
40325.query,VOM19980303.0700.0783 VOM19980303.0700.0179 VOM19980502.0730.0193 VOM19980304.0700.0871 VOM19980304.0700.0774 
40326.query,VOM19980613.0700.0179 VOM19980305.0700.0395 VOM19980613.0730.0072 VOM19980220.0700.0221 VOM19980306.0700.0354 
40327.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980611.0700.0350 VOM19980527.0700.0426 VOM19980614.0730.0034 
40328.query,VOM19980403.0700.0372 VOM19980326.0700.0115 VOM19980326.0900.0118 VOM19980327.0900.1850 VOM19980327.0900.0179 
40329.query,VOM19980223.0900.0154 VOM19980223.0700.0197 VOM19980223.0900.1740 VOM19980225.0900.0178 VOM19980225.0700.0187 
40330.query,VOM19980220.0900.3360 VOM19980224.0700.0173 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980222.0700.1842 
40331.query,VOM19980326.0900.0118 VOM19980224.0900.0173 VOM19980226.0900.0170 VOM19980224.0900.3361 VOM19980613.0730.0072 
40332.query,VOM19980526.0700.0381 VOM19980220.0900.3360 VOM19980228.0700.1816 VOM19980228.0700.0187 VOM19980305.0700.0395 
40333.query,VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980225.0900.1874 VOM19980220.0900.3360 VOM19980326.0900.0118 
40334.query,VOM19980223.0900.3362 VOM19980613.0730.0072 VOM19980223.0900.0154 VOM19980613.0700.0179 VOM19980223.0900.1740 
40335.query,VOM19980222.0700.1842 VOM19980225.0900.0178 VOM19980223.0900.3362 VOM19980225.0700.0187 VOM19980223.0900.1740 
40336.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980303.0900.0160 VOM19980228.0700.0156 VOM19980223.0700.0800 
40337.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980502.0730.0193 
40338.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980223.0900.3362 VOM19980223.0900.1740 VOM19980223.0900.0154 
40339.query,VOM19980223.0900.3362 VOM19980223.0900.0154 VOM19980225.0900.0178 VOM19980223.0700.0197 VOM19980225.0700.0187 
40340.query,VOM19980223.0900.3362 VOM19980228.0700.0156 VOM19980223.0700.0800 VOM19980303.0900.0160 VOM19980303.0700.0179 
40341.query,VOM19980223.0700.0882 VOM19980224.0700.0719 VOM19980326.0900.0118 VOM19980223.0700.0240 VOM19980502.0730.0193 
40342.query,VOM19980228.0700.1816 VOM19980228.0700.0187 VOM19980223.0900.3362 VOM19980602.0700.0417 VOM19980613.0700.0179 
40343.query,VOM19980223.0900.3362 VOM19980220.0900.3360 VOM19980223.0700.0240 VOM19980222.0700.1842 VOM19980220.0900.0190 
40344.query,VOM19980225.0900.0178 VOM19980223.0900.0154 VOM19980225.0900.1874 VOM19980225.0700.0187 VOM19980223.0700.0197 
40345.query,VOM19980226.0900.0245 VOM19980319.0700.0678 VOM19980403.0700.0323 VOM19980306.0700.0593 VOM19980403.0900.2970 
40346.query,VOM19980223.0900.3362 VOM19980220.0900.3360 VOM19980223.0900.0154 VOM19980223.0900.1740 VOM19980223.0700.0197 
40347.query,VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980222.0700.1842 VOM19980223.0900.3362 VOM19980225.0900.1874 
40348.query,VOM19980223.0900.3362 VOM19980303.0700.0179 VOM19980223.0900.0154 VOM19980223.0900.1740 VOM19980223.0700.0197 
40349.query,VOM19980223.0700.0240 VOM19980604.0700.0424 VOM19980316.0700.0463 VOM19980605.0700.0482 VOM19980315.0700.1964 
40350.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980224.0700.1530 VOM19980220.0900.0190 VOM19980223.0900.3362 
40351.query,VOM19980223.0900.3362 VOM19980223.0900.0629 VOM19980303.0700.0179 VOM19980223.0900.0154 VOM19980223.0700.0800 
40352.query,VOM19980220.0900.3360 VOM19980223.0900.3362 VOM19980225.0900.0178 VOM19980222.0700.1842 VOM19980225.0700.0187 
40353.query,VOM19980225.0900.0178 VOM19980226.0900.1725 VOM19980226.0900.0170 VOM19980225.0700.0187 VOM19980226.0900.3359 
40354.query,VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980225.0900.1874 VOM19980326.0900.0118 VOM19980223.0900.3362 
40355.query,VOM19980223.0900.3362 VOM19980223.0700.0800 VOM19980223.0900.0154 VOM19980223.0900.1740 VOM19980223.0700.0197 
40356.query,VOM19980223.0900.3362 VOM19980226.0900.1725 VOM19980226.0900.0170 VOM19980226.0900.3359 VOM19980225.0900.1874 
40357.query,VOM19980503.0700.0096 VOM19980511.0730.0066 VOM19980502.0730.0193 VOM19980509.0730.0027 VOM19980502.0700.0348 
40358.query,VOM19980221.0700.0119 VOM19980223.0700.1295 VOM19980220.0700.0772 VOM19980223.0700.0882 VOM19980223.0700.0240 
40359.query,VOM19980220.0900.3360 VOM19980222.0700.1842 VOM19980613.0730.0072 VOM19980223.0900.3362 VOM19980221.0700.0119 
40360.query,VOM19980506.0900.0225 VOM19980220.0900.3360 VOM19980225.0900.0178 VOM19980225.0700.0187 VOM19980506.0700.0287 
40361.query,VOM19980220.0900.3360 VOM19980221.0700.0119 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980223.0900.3362 
40362.query,VOM19980502.0730.0193 VOM19980220.0700.3434 VOM19980311.0700.3445 VOM19980303.0700.0783 VOM19980220.0700.0166 
40363.query,VOM19980220.0900.3360 VOM19980311.0700.0279 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980223.0900.3362 
40364.query,VOM19980220.0900.3360 VOM19980221.0700.0119 VOM19980226.0900.1725 VOM19980220.0900.0190 VOM19980220.0900.1815 
40365.query,VOM19980220.0900.3360 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980224.0700.0173 VOM19980223.0900.3362 
40366.query,VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980220.0900.3360 VOM19980221.0700.0119 VOM19980223.0900.3362 
40367.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980221.0700.0119 VOM19980222.0700.0151 VOM19980502.0730.0193 
40368.query,VOM19980614.0700.0458 VOM19980623.0900.0242 VOM19980619.0700.0392 VOM19980503.0700.0342 VOM19980503.0700.0342 
40369.query,VOM19980220.0900.3360 VOM19980303.0700.0783 VOM19980220.0900.1815 VOM19980220.0900.0190 VOM19980303.0700.0179 
40370.query,VOM19980228.0700.0327 VOM19980228.0700.1944 VOM19980221.0700.0119 VOM19980223.0900.3362 VOM19980223.0700.0240 
40371.query,VOM19980223.0900.3362 VOM19980223.0900.1740 VOM19980223.0700.0800 VOM19980221.0700.0119 VOM19980223.0900.0154 
40372.query,VOM19980220.0900.3360 VOM19980223.0900.3362 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980221.0700.0119 
40373.query,VOM19980609.0730.0043 VOM19980610.0700.0405 VOM19980609.0700.0085 VOM19980428.0900.0156 VOM19980430.0900.0192 
40374.query,VOM19980428.0900.0215 VOM19980521.0730.0244 VOM19980221.0700.0119 VOM19980220.0900.3360 VOM19980222.0700.1842 
40375.query,VOM19980221.0700.0119 VOM19980302.0900.0871 VOM19980303.0700.0976 VOM19980222.0700.1842 VOM19980428.0900.0156 
40376.query,VOM19980220.0900.3360 VOM19980221.0700.0119 VOM19980223.0900.3362 VOM19980220.0900.0190 VOM19980303.0700.0783 
40377.query,VOM19980226.0900.3539 VOM19980226.0900.0401 VOM19980221.0700.0119 VOM19980304.0700.0408 VOM19980304.0900.0353 
40378.query,VOM19980224.0900.3400 VOM19980428.0900.0156 VOM19980531.0700.0380 VOM19980531.0730.0195 VOM19980228.0700.0156 
40379.query,VOM19980228.0700.1816 VOM19980228.0700.0187 VOM19980223.0700.0945 VOM19980220.0900.3360 VOM19980223.0900.0629 
40380.query,VOM19980403.0700.0372 VOM19980326.0700.0115 VOM19980327.0900.0179 VOM19980327.0900.1850 VOM19980327.0900.3348 
40381.query,VOM19980623.0730.0265 VOM19980317.0900.3421 VOM19980404.0700.2689 VOM19980526.0700.0431 VOM19980623.0700.0543 
40382.query,VOM19980223.0900.3362 VOM19980531.0700.0380 VOM19980531.0730.0195 VOM19980221.0700.0119 VOM19980223.0700.0240 
40383.query,VOM19980220.0900.3360 VOM19980223.0900.3362 VOM19980221.0700.0119 VOM19980222.0700.0151 VOM19980223.0900.1740 
40384.query,VOM19980220.0900.3360 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980326.0900.0118 VOM19980222.0700.1842 
40385.query,VOM19980220.0900.3360 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980326.0900.0118 VOM19980221.0700.0119 
40386.query,VOM19980223.0700.0240 VOM19980223.0900.1740 VOM19980222.0700.1842 VOM19980303.0700.0179 VOM19980220.0900.0190 
40387.query,VOM19980220.0900.3360 VOM19980220.0900.0190 VOM19980220.0900.1815 VOM19980327.0900.3348 VOM19980327.0900.0179 
40388.query,VOM19980306.0700.0284 VOM19980225.0700.0348 VOM19980225.0700.0999 VOM19980311.0700.0396 VOM19980305.0900.0369 
40389.query,VOM19980326.0900.0118 VOM19980220.0900.3360 VOM19980326.0700.0452 VOM19980221.0700.0119 VOM19980226.0900.0170 
40390.query,VOM19980613.0700.0179 VOM19980613.0730.0072 VOM19980317.0900.3421 VOM19980326.0900.0118 VOM19980623.0730.0265 
40391.query,VOM19980220.0900.3360 VOM19980223.0900.3362 VOM19980222.0700.1842 VOM19980326.0900.0118 VOM19980225.0900.0178 
40392.query,VOM19980613.0730.0072 VOM19980613.0700.0179 VOM19980326.0900.0118 VOM19980502.0730.0193 VOM19980220.0900.0190 
40393.query,VOM19980220.0900.3360 VOM19980222.0700.1842 VOM19980221.0700.0119 VOM19980220.0900.0190 VOM19980223.0900.3362 
